message;number of retweets; user id
JUST GET 88 FRIENDS  https://t.co/ias95574VS #JocPederson #SalonedelMobile #popmaster @Fungleweed1 @noeyary_;0;825173406307930112

Diamo il benvenuto al @iSaloniofficial con una selezione di immagini della nuova linea Carlo Pignatelli #Casa!… https://t.co/w8NmIj4uZN;0;468396664

Fino al 9/04 dalle 15.30 alle 16.30 #VietatoNonToccare sarà visitabile per un turno extra riservato solo agli adult… https://t.co/jKgOzAmZdW;0;241456950

RT @littlebigbell: GM!So excited for @iSaloniofficial with @MINIUK to see their #MINILiving #Breathe installation today. #SaloneDelMobile #…;1;287072963

RT @LouisVuitton: #LVNomades Collection is now on display at the 2017 #SalonedelMobile in Milan. Learn more now at https://t.co/nSNvXEo5fJ…;54;725864985658818561

#HappyBirthdayRobertDowneyJr you are the best idol in the word.I love you so much, like tony said "And I know in m… https://t.co/OzsbQi0zYh;0;3095425977

RT @whynotdevil: człowiek przez którego zainteresowałam się komiksami ave papa #HappyBirthdayRobertDowneyJr;2;2603136026

#HappyBirthdayRobertDowneyJr Even cats love you @RobertDowneyJr https://t.co/Asov8BkAa3;0;239233081

RT @stelovesrdj: Imagine not stanning this man, can't relate #HappyBirthdayRobertDowneyJr https://t.co/4dnoqPzChY;260;732822644073062400

RT @Dobrevadden: HAPPY BIRTHDAY ROBERT #HappyBirthdayRobertDowneyJr https://t.co/mM9GME6LUm;4;3369593145

RT @WhyJeni: Feliz aniversário pra esse ser maravilhoso❤❤❤ @RobertDowneyJr  #HappyBirthdayRobertDowneyJr https://t.co/0Dulwxy2ws;1;3776826023

advinha quem tá fazendo aniversário hoje? isso mesmo o melhor homem de ferro ever &lt3 #HappyBirthdayRobertDowneyJr https://t.co/ZpjLwBny7J;0;2224012536

RT @stelovesrdj: Imagine not stanning this man, can't relate #HappyBirthdayRobertDowneyJr https://t.co/4dnoqPzChY;260;709790629

#HappyBirthdayRobertDowneyJrDepois de tudo o que vc passou, percebeu o quanto a vida é valiosa, por isso, fique com nós por muito tempo ❤️;0;751440588877271040

RT @EangelFace_: “Non esiste nessuno a cui piaccia la solitudine. È solo che odio le delusioni.” #Murakami ;5;159551952

RT @trendinaliaIT: ⒈ #4aprile #Murakami #SaloneDelMobile #mentrePassa #TIMHiTech2017/4/4 12:58 CEST #trndnl https://t.co/1z2nx2qb…;3;468129321

RT @chiara_melinci: Io sono una persona imperfetta, più di quanto immagini. #Murakami @CasaLettori https://t.co/0ntKzBKFxe;8;866147862

RT @coiVersi: #Murakami Perciò nei sogni è difficile andare a urtare violentemente contro qualcosa, e se per caso questo accade, non ci s…;7;468129321

RT @bubani68: ..Quando tutto attorno è buio non c'è altro da fare ke aspettare tranquilli ke gli occhi si abituino all'oscurità #Murakami ;11;468129321

RT @Miky_born2read: La mia opinione è che questo mondo, oltre ad essere privo di logica, manca anche di cuore. Murakami;14;2944075011

RT @clapad4: "@Emili31842148: Mi tolgo le cuffie e ascolto il silenzio.Il silenzio e'una cosa che si ascolta. Murakami. " ❤ space silence…;2;468129321

RT @ntoni118: Avrò diciotto anni fino alla morte !(18 ʼtil I die )[L'arte di correre ]#Murakami https://t.co/66QjrgD4qf;6;866147862

RT @chiara_melinci: Io sono una persona imperfetta, più di quanto immagini. #Murakami @CasaLettori https://t.co/0ntKzBKFxe;8;468129321

Consiglio Puglia: in commissione aiuti per danni maltempo https://t.co/gWuNAkSRYR;0;468129321

Arti Marziali Cinesi: Corso della Commissione Nazionale Arbitri Federali a Pordenone https://t.co/0pNAn9uVdU;0;2601772910

#LuisEnrique Commissione #Disney #timhitech #emigratis #PrimariePD #UGDP #Roma5Stellehttps://t.co/yk79nsRbUe;0;817315907529822208

Regolamento d’Esecuzione (UE) 2017/630 della Commissione del 3 Aprile 2017 recante duecentosessantaquattresima... https://t.co/GxncrJzkK1;0;989582592

Caso Manca, Giulia Sarti: ''La Commissione antimafia deve continuare a cercare la verità'' https://t.co/bc4ALJBRVL;0;519391002

Regolamento d’Esecuzione (UE) 2017/629 della Commissione del 23 Marzo 2017 recante approvazione di una modifica... https://t.co/r3VNCrt9yU;0;989582592

#Carta: domani (5 aprile) @cgilnazionale incontra presidente commissione Lavoro Camera https://t.co/f67IaaLUTP #Con2Si #ReferendumLavoro;0;48971905

RT @FilcaCisl: #CodiceAppalti . Turri (Filca-Cisl): “Gravissimo che Commissione #Ue sia contro limiti a subappalto” https://t.co/BeKtGUN4Hj…;6;3403968118

RT @GianPiero_Scanu: Salute e sicurezza dei civili e dei militari. Seconda giornata di missione in Sicilia. #commissione #uranio https://t.…;1;477305279

RT @AL_Libera: #Banche , Alternativa Libera: Sedici mesi dall’annuncio di @matteorenzi, ma la commissione d’inchiesta dov’è?https://t.co/8r…;2;1317015313

@beamiller_ita @TicketOneIT Secondo me è un pesce di aprile posticipato...;0;827888062520778754

‘Ndrangheta, maxi-operazioni in CalabriaScacco a vertici della cosca Pesce: 11 fermi https://t.co/n8mLHBZBHq via @fattoquotidiano;0;2772740636

RT @ZZiliani: ULTIMORA. Pare che al momento dell'arresto Rocco Pesce figlio di "u ballerinu" abbia urlato: "Forza #Juve , vinci per noi!" #f…;19;494986042

Pavimenti e rampe in calcestruzzo a finitura "spina di pesce" https://t.co/duEObPSEeK;0;849210544938790914

RT @greenMe_it: Fish dependence day: l'Italia ha già esaurito l'equivalente del consumo annuale di pesce  #fishforward @WWFitalia - https:/…;19;713919523

RT @tayymarieee1: I got bored  https://t.co/wgvAOXhnDg;16;3903300501

@annamaugeri @vladiluxuria Io ho sentito Raz che diceva un pesce...;0;2342075825

Mattia sembra un pesce;0;215718268

Non è ...un pesce d'aprile https://t.co/XGS28kAYer;0;558912245
